country,admin_name,city
China,Jining,Inner Mongolia
China,Alxa Zuoqi,Inner Mongolia
China,Erenhot,Inner Mongolia
China,Huaiyin,Jiangsu
China,Nanchang,Jiangxi
China,Jian,Jiangxi
China,Panshi,Jilin
China,Liaoyuan,Jilin
China,Shulan,Jilin
China,Changchun,Jilin
China,Tumen,Jilin
China,Fuxin,Liaoning
China,Tieling,Liaoning
China,Jinzhou,Liaoning
China,Yinchuan,Ningxia
Colombia,Turbo,Antioquia
Colombia,Sonsón,Antioquia
Colombia,Arauca,Arauca
Colombia,Barranquilla,Atlántico
Colombia,Arjona,Bolívar
Colombia,Cartagena,Bolívar
Colombia,Magangué,Bolívar
Colombia,Sogamoso,Boyacá
Colombia,Manizales,Caldas
Colombia,Neiva,Huila
Colombia,Garzón,Huila
Colombia,Riohacha,La Guajira
Colombia,Ciénaga,Magdalena
Colombia,San Martín,Meta
Colombia,Tumaco,Nariño
Colombia,Ipiales,Nariño
Colombia,Túquerres,Nariño
Congo (Brazzaville),Brazzaville,Brazzaville
Congo (Brazzaville),Makoua,Cuvette
Congo (Brazzaville),Owando,Cuvette
Congo (Brazzaville),Ewo,Cuvette-Ouest
Congo (Brazzaville),Mossendjo,Niari
Congo (Brazzaville),Gamboma,Plateaux
Congo (Kinshasa),Aketi,Bas-Uélé
Congo (Kinshasa),Mbandaka,Équateur
Congo (Kinshasa),Kipushi,Haut-Katanga
Congo (Kinshasa),Luanza,Haut-Katanga
Congo (Kinshasa),Kaniama,Haut-Lomami
Congo (Kinshasa),Wamba,Haut-Uélé
Congo (Kinshasa),Watsa,Haut-Uélé
Congo (Kinshasa),Ilebo,Kasaï
Congo (Kinshasa),Kananga,Kasaï Central
Congo (Kinshasa),Demba,Kasaï Central
Congo (Kinshasa),Kinshasa,Kinshasa
Congo (Kinshasa),Kimpese,Kongo Central
Congo (Kinshasa),Kenge,Kwango
Congo (Kinshasa),Kikwit,Kwilu
Congo (Kinshasa),Bandundu,Kwilu
Congo (Kinshasa),Mangai,Kwilu
Congo (Kinshasa),Lubao,Lomami
Congo (Kinshasa),Mushie,Mai-Ndombe
Congo (Kinshasa),Kampene,Maniema
Congo (Kinshasa),Kindu,Maniema
Congo (Kinshasa),Lisala,Mongala
Congo (Kinshasa),Businga,Nord-Ubangi
Costa Rica,Liberia,Guanacaste
Croatia,Gospi?,Li?ko-Senjska Županija
Croatia,Rijeka,Primorsko-Goranska Županija
Cuba,Artemisa,Artemisa
Cuba,Camagüey,Camagüey
Cuba,Nuevitas,Camagüey
Cuba,Nueva Gerona,Isla de la Juventud
Czechia,Karlovy Vary,Karlovarský Kraj
Czechia,Hradec Králové,Královéhradecký Kraj
Czechia,Ostrava,Moravskoslezský Kraj 
Czechia,Olomouc,Olomoucký Kraj
Czechia,Pardubice,Pardubický Kraj
C??D?voire,Soubré,Bas-Sassandra
C??D?voire,Grand Bassam,Comoé
C??D?voire,Gagnoa,Gôh-Djiboua
C??D?voire,Divo,Gôh-Djiboua
C??D?voire,Dimbokro,Lacs
C??D?voire,Dabou,Lagunes
C??D?voire,Guiglo,Montagnes
Denmark,Hillerød,Hovedstaden
Djibouti,Obock,Obock
Dominican Republic,Dajabón,Cibao Noroeste
Dominican Republic,Moca,Cibao Norte
Dominican Republic,Cotuí,Cibao Sur
Dominican Republic,Hato Mayor,Higuamo
Ecuador,Alausí,Chimborazo
Ecuador,Riobamba,Chimborazo
Ecuador,Latacunga,Cotopaxi
Ecuador,Macará,Loja
Ecuador,Babahoyo,Los Ríos
Ecuador,Yaupi,Morona-Santiago
Ecuador,Tena,Napo
Ecuador,Puyo,Pastaza
Egypt,Alexandria,Al Iskandar?yah
Egypt,El Giza,Al J?zah
Egypt,Mallawi,Al Miny?
Egypt,El Minya,Al Miny?
Egypt,Benha,Al Qaly?b?yah
Egypt,Aswan,Asw?n
Egypt,Asyut,Asy??
Egypt,Bur Said,B?r Sa‘?d
Egypt,Siwa,Ma?r??
Egypt,Matruh,Ma?r??
Egypt,Salum,Ma?r??
El Salvador,Sensuntepeque,Cabañas
El Salvador,Cojutepeque,Cuscatlán
Equatorial Guinea,Palé,Annobón
Equatorial Guinea,Bata,Litoral
Eritrea,Mendefera,Debub
Eritrea,Agordat,Gash Barka
Estonia,Paide,Järvamaa
Estonia,Haapsalu,Läänemaa
Ethiopia,Dese,?mara
Ethiopia,Debre Birhan,?mara
Ethiopia,Asosa,B?nshangul Gumuz
Ethiopia,Harar,H?rer? Hizb
Ethiopia,Dembi Dolo,Orom?ya
Fiji,Nandi,Ba
Finland,Lappeenranta,Etelä-Karjala
Finland,Kokkola,Keski-Pohjanmaa
Finland,Kemi,Lappi
Finland,Sodankylä,Lappi
Finland,Kemijärvi,Lappi
France,Dijon,Bourgogne-Franche-Comté
France,Brest,Bretagne
France,Tours,Centre-Val de Loire
France,Bastia,Corsica
France,Troyes,Grand Est
France,Nancy,Grand Est
France,Versailles,Île-de-France
France,Rouen,Normandie
France,Biarritz,Nouvelle-Aquitaine
France,Tarbes,Occitanie
France,Nantes,Pays de la Loire
Gabon,Bifoum,Moyen-Ogooué
Gabon,Lambaréné,Moyen-Ogooué
Gabon,Omboué,Ogooué-Maritime
"Gambia, The",Bansang,Central River
"Gambia, The",Kerewan,North Bank
Georgia,Sukhumi,Abkhazia
Georgia,Kutaisi,Imereti
Georgia,Mtskheta,Mtskheta Mtianeti
Germany,Ulm,Baden-Württemberg
Germany,Mannheim,Baden-Württemberg
Germany,Ingolstadt,Bavaria
Germany,Passau,Bavaria
Germany,Regensburg,Bavaria
Germany,Coburg,Bavaria
Germany,Fürth,Bavaria
Germany,Berlin,Berlin
Germany,Potsdam,Brandenburg
Germany,Cottbus,Brandenburg
Germany,Bremen,Bremen
Germany,Hannover,Lower Saxony
Germany,Braunschweig,Lower Saxony
Germany,Cologne,North Rhine-Westphalia
Germany,Düsseldorf,North Rhine-Westphalia
Germany,Dortmund,North Rhine-Westphalia
Germany,Duisburg,North Rhine-Westphalia
Germany,Essen,North Rhine-Westphalia
Germany,Bielefeld,North Rhine-Westphalia
Germany,Wuppertal,North Rhine-Westphalia
Ghana,Kumasi,Ashanti
Ghana,Cape Coast,Central
Ghana,Accra,Greater Accra
Greece,Patra,Dytikí Elláda
Greece,Kerkira,Ionía Nísia
Greece,Ioanina,Ípeiros
Greece,Katerini,Kentrikí Makedonía
Greece,Hania,Kríti
Greece,Sitia,Kríti
Greece,Ermoupoli,Notío Aigaío
Greece,Kalamata,Peloponnísos
Guatemala,Chiquimula,Chiquimula
Guatemala,San Jose,Escuintla
Guatemala,Huehuetenango,Huehuetenango
Guinea,Kamsar,Boké
Guinea,Koundara,Boké
Guinea,Kérouané,Kankan
Guinea,Kindia,Kindia
Guinea,Télimélé,Kindia
Guinea,Tongue,Labé
Guinea,Mali,Labé
Guinea,Dalaba,Mamou
Guinea,Beyla,N’Zérékoré
Guinea-Bissau,Quinhámel,Biombo
Guyana,Georgetown,Demerara-Mahaica
Guyana,Fort Wellington,Mahaica-Berbice
Guyana,Anna Regina,Pomeroon-Supenaam
Haiti,Hinche,Centre
Haiti,Miragoâne,Nippes
Haiti,Port-De-Paix,Nord-Ouest
Honduras,San Pedro Sula,Cortés
Honduras,La Paz,La Paz
Hungary,Budapest,Budapest
Hungary,Debrecen,Debrecen
Hungary,Sopron,Gy?r-Moson-Sopron
Hungary,Szolnok,Jász-Nagykun-Szolnok
Hungary,Miskolc,Miskolc
Hungary,Pécs,Pécs
Iceland,Höfn,Austurland
India,Guntur,Andhra Pradesh
India,Vizianagaram,Andhra Pradesh
India,Hindupur,Andhra Pradesh
India,Karimnagar,Andhra Pradesh
India,Guwahati,Assam
India,Aurangabad,Bih?r
India,Chandigarh,Chand?garh
India,Bhuj,Gujar?t
India,Ahmedabad,Gujar?t
India,Gurgaon,Hary?na
India,Sirsa,Hary?na
India,Sonipat,Hary?na
India,Panipat,Hary?na
India,Simla,Him?chal Pradesh
India,Dhanbad,Jharkhand
India,Jamshedpur,Jharkhand
India,Hospet,Karn?taka
India,Bijapur,Karn?taka
India,Mandya,Karn?taka
India,Tumkur,Karn?taka
India,Kollam,Kerala
India,Ujjain,Madhya Pradesh
India,Burhanpur,Madhya Pradesh
India,Indore,Madhya Pradesh
India,Sangli,Mah?r?shtra
India,Ahmednagar,Mah?r?shtra
India,Aurangabad,Mah?r?shtra
India,Brahmapur,Odisha
Indonesia,Langsa,Aceh
Indonesia,Serang,Banten
Indonesia,Kediri,Jawa Timur
Indonesia,Sumenep,Jawa Timur
Indonesia,Bandjarmasin,Kalimantan Selatan
Indonesia,Sampit,Kalimantan Tengah
Indonesia,Kualakapuas,Kalimantan Tengah
Indonesia,Ende,Nusa Tenggara Timur
Indonesia,Waingapu,Nusa Tenggara Timur
Indonesia,Biak,Papua
Indonesia,Timika,Papua
Indonesia,Merauke,Papua
Iran,Karaj,Alborz
Iran,Mahabad,?z?arb?yj?n-e Gharb?
Iran,Kashan,E?fah?n
Iran,Qomsheh,E?fah?n
Iran,?l?m,?l?m
Iran,Kashmar,Khor?s?n-e Ra?av?
Iran,Torbat-e Jam,Khor?s?n-e Ra?av?
Iran,Ahvaz,Kh?zest?n
Iran,Sanandaj,Kordest?n
Iran,Arak,Markaz?
Iran,Sari,M?zandar?n
Iraq,Irbil,Arb?l
Iraq,Baghdad,Baghd?d
Iraq,An Nasiriyah,Dh? Q?r
Iraq,Mandali,Diy?lá
Iraq,Mosul,N?nawá
Ireland,Cork,Cork
Ireland,Donegal,Donegal
Ireland,Dublin,Dublin
Ireland,Swords,Fingal
Ireland,Galway,Galway
Ireland,Kilkenny,Kilkenny
Ireland,Carrick on Shannon,Leitrim
Ireland,Drogheda,Louth
Ireland,Dundalk,Louth
Ireland,Castlebar,Mayo
Ireland,Trim,Meath
Israel,Ramla,Central
Italy,L'Aquila,Abruzzo
Italy,Potenza,Basilicata
Italy,Catanzaro,Calabria
Italy,Vibo Valentia,Calabria
Italy,Crotone,Calabria
Italy,Caserta,Campania
Italy,Bologna,Emilia-Romagna
Italy,Modena,Emilia-Romagna
Italy,Udine,Friuli-Venezia Giulia
Italy,Genoa,Liguria
Italy,Campobasso,Molise
Italy,Asti,Piedmont
Japan,Nagoya,Aichi
Japan,Hirosaki,Aomori
Japan,Matsuyama,Ehime
Japan,Fukuoka,Fukuoka
Japan,Iwaki,Fukushima
Japan,Maebashi,Gunma
Japan,Hiroshima,Hiroshima
Japan,Sapporo,Hokkaid?
Japan,Mito,Ibaraki
Japan,Takamatsu,Kagawa
Japan,Nagano,Nagano
Japan,Niigata,Niigata
Jordan,As Salt,Al Balq?’
Jordan,Al Karak,Al Karak
Jordan,At Tafilah,A? ?af?lah
Jordan,Az Zarqa,Az Zarq?’
Kazakhstan,Ushtobe,Almaty
Kazakhstan,Qapshaghay,Almaty
Kazakhstan,Esik,Almaty
Kazakhstan,Almaty,Almaty
Kazakhstan,Zholymbet,Aqmola
Kazakhstan,Esil,Aqmola
Kazakhstan,Khromtau,Aqtöbe
Kazakhstan,Embi,Aqtöbe
Kazakhstan,Bayghanin,Aqtöbe
Kazakhstan,Chapaev,Batys Qazaqstan
Kazakhstan,Zhangaozen,Mangghysta?
Kazakhstan,Aqtau,Mangghysta?
Kazakhstan,Lenger,Ongtüstik Qazaqstan
Kazakhstan,Kachiry,Pavlodar
Kazakhstan,Ekibastuz,Pavlodar
Kenya,Bomet,Bomet
Kenya,Garissa,Garissa
Kenya,Kendu Bay,Homa Bay
Kenya,Kerugoya,Kirinyaga
Kenya,Kisumu,Kisumu
Kenya,Mwingi,Kitui
Kenya,Witu,Lamu
Kenya,Konza,Machakos
Kenya,Moyale,Marsabit
Kenya,Meru,Meru
Kenya,Mombasa,Mombasa
Kenya,Murang’a,Murang’a
Kenya,Nairobi,Nairobi City
Kenya,Nakuru,Nakuru
Kenya,Naivasha,Nakuru
Kenya,Narok,Narok
Kenya,Nyamira,Nyamira
"Korea, North",Kilchu,Hambuk
"Korea, North",Kimchaek,Hambuk
"Korea, North",Kaesong,Hwangnam
"Korea, North",Rajin,Nas?n
"Korea, North",Taedong,P’y?ngbuk
"Korea, South",Cheongju,Chungbuk
"Korea, South",Daegu,Daegu
"Korea, South",Daejeon,Daejeon
"Korea, South",Wonju,Gangwon
"Korea, South",Sokcho,Gangwon
"Korea, South",Ansan,Gyeonggi
"Korea, South",Incheon,Incheon
Kosovo,Gjilan,Gjilan
Kosovo,Istog,Istog
Kosovo,Klinë,Klinë
Kosovo,Kllokot,Kllokot
Kosovo,,Mitrovicë
Kosovo,Partesh,Partesh
Kyrgyzstan,Naryn,Naryn
Laos,Attapu,Attapu
Laos,Xam Nua,Houaphan
Laos,Louang Namtha,Louangnamtha
Latvia,Ape,Apes Novads
Latvia,Pi??i,Bab?tes Novads
Latvia,Burtnieki,Burtnieku Novads
Latvia,C?sis,C?su Novads
Latvia,Iecava,Iecavas Novads
Latvia,In?ukalns,In?ukalna Novads
Latvia,Jaunjelgava,Jaunjelgavas Novads
Latvia,Jaunpiebalga,Jaunpiebalgas Novads
Latvia,K?rsava,K?rsavas Novads
Latvia,?egums,?eguma Novads
Latvia,?ekava,?ekavas Novads
Latvia,Ragana,Krimuldas Novads
Latvia,Kuld?ga,Kuld?gas Novads
Latvia,L?gatne,L?gatnes Novads
Latvia,Limbaži,Limbažu Novads
Latvia,Lub?na,Lub?nas Novads
Latvia,Ludza,Ludzas Novads
Latvia,Olaine,Olaines Novads
Latvia,Stalbe,P?rgaujas Novads
Latvia,Priekule,Priekules Novads
Lebanon,B'abda,Mont-Liban
Lesotho,Mohales Hoek,Mohale’s Hoek
Liberia,Robertsport,Grand Cape Mount
Liberia,Monrovia,Montserrado
Liberia,Bensonville,Montserrado
Libya,Al Bayda,Al Jabal al Akh?ar
Libya,Gharyan,Al Jabal al Gharb?
Libya,Hun,Al Jufrah
Libya,Zillah,Al Jufrah
Libya,Maradah,Al W?h??t
Libya,Bani Walid,Mi?r?tah
Lithuania,Elektr?nai,Elektrénai
Lithuania,Kalvarija,Kalvarijos
Lithuania,Mažeikiai,Mažeikiai
Lithuania,Pakruojis,Pakruojis
Lithuania,Palanga,Palangos Miestas
Lithuania,Pasvalys,Pasvalys
Luxembourg,Clervaux,Clervaux
Macedonia,Berovo,Berovo
Macedonia,Bogovinje,Bogovinje
Macedonia,Brvenica,Brvenica
Macedonia,?aška,?aška
Macedonia,Del?evo,Del?evo
Macedonia,Demir Kapija,Demir Kapija
Macedonia,Dolneni,Dolneni
Macedonia,Gevgelija,Gevgelija
Macedonia,Kavadarci,Kavadarci
Macedonia,Kon?e,Kon?e
Macedonia,Kriva Palanka,Kriva Palanka
Macedonia,Makedonski Brod,Makedonski Brod
Macedonia,Rostuša,Mavrovo i Rostuša
Macedonia,Negotino,Negotino
Macedonia,Ohrid,Ohrid
Macedonia,Peh?evo,Peh?evo
Madagascar,Antalaha,Antsiranana
Madagascar,Mananjary,Fianarantsoa
Madagascar,Ihosy,Fianarantsoa
Madagascar,Maintirano,Mahajanga
Malawi,Dowa,Dowa
Malawi,Kasungu,Kasungu
Malawi,Mangochi,Mangochi
Malawi,Mwanza,Mwanza
Malawi,Neno,Neno
Malawi,Chiromo,Nsanje
Malaysia,Kuantan,Pahang
Malaysia,Kuala Lipis,Pahang
Malaysia,Raub,Pahang
Maldives,Malé,Maale
Mali,Gao,Gao
Mali,Kayes,Kayes
Mali,Kidal,Kidal
Mali,Kangaba,Koulikoro
Malta,Balzan,Balzan
Malta,Cospicua,Bormla
Malta,G?ajnsielem,G?ajnsielem
Malta,?amrun,?amrun
Malta,Imdina,Imdina
Malta,Ker?em,Ker?em
Malta,Nadur,Nadur
Mauritania,Atar,Adrar
Mauritania,Sélibaby,Guidimaka
Mauritania,Dar Naim,Nouakchott Nord
Mauritius,Curepipe,Plaines Wilhems
Mexico,Aguascalientes,Aguascalientes
Mexico,San Quintín,Baja California
Mexico,Ensenada,Baja California
Mexico,La Paz,Baja California Sur
Mexico,Santa Barbara,Chihuahua
Mexico,Villa Ahumada,Chihuahua
Mexico,Nueva Rosita,Coahuila de Zaragoza
Mexico,Saltillo,Coahuila de Zaragoza
Mexico,Piedras Negras,Coahuila de Zaragoza
Mexico,Parras,Coahuila de Zaragoza
Mexico,Torreón,Coahuila de Zaragoza
Mexico,Canatlan,Durango
Mexico,Chilpancingo,Guerrero
