182,966,Saudi Arabia (+966)
183,221,Senegal (+221)
184,248,Seychelles (+248)
185,232,Sierra Leone (+232)
186,65,Singapore (+65)
187,421,Slovakia(+421)
188,386,Slovenia (+386)
189,677,Solomon Islands(+677)
190,252,Somalia(+252)
191,27,South Africa(+27)
192,34,Spain (+34)
193,94,Sri Lanka(+94)
194,249,Sudan(+249)
195,597,Suriname(+597)
196,268,Swaziland(+268)
197,46,Sweden (+46)
198,41,Switzerland (+41)
199,963,Syria(+963)
200,886,Taiwan(+886)
201,992,Tajikistan(+992)
202,255,Tanzania(+255)
203,66,Thailand(+66)
204,690,Tokelau (+690)
205,676,"Tonga, Kingdom of(+676)"
206,-867,Trinidad(+1-868)
207,216,Tunisia (+216)
208,90,Turkey (+90)
209,993,Turkmenistan(+993)
210,-648,Turks & Caicos(+1-649)
211,688,Tuvalu(+688)
212,256,Uganda(+256)
213,380,Ukraine(+380)
214,971,UAE(+971)
215,44,United Kingdom(+44)
216,1,United States (+1)
217,598,Uruguay(+598)
218,998,Uzbekistan(+998)
219,678,Vanuatu(+678)
220,418,Vatican City State(+418)
221,58,Venezuela (+58)
222,84,Vietnam (+84)
223,-283,Virgin Islands(+1-284)
224,-339,Virgin Islands(+1-340)
225,681,Wallis & Futuna(+681)
226,967,Yemen (+967)
227,260,Zambia(+260)
228,263,Zimbabwe(+263)
